Company Name,Industry,Symbol,logo,FNO
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK539336.png,True
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500670.png,True
Gujarat Pipavav Port Ltd.,Services,GPPL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK533248.png,False
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500690.png,False
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532702.png,False
H.E.G. Ltd.,Capital Goods,HEG.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540005.png,False
HCL Technologies Ltd.,Information Technology,HCLTECH.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK532281.png,True
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541729.png,True
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500180.png,True
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK540777.png,True
HFCL Ltd.,Telecommunication,HFCL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500183.png,False
HLE Glascoat Ltd.,Capital Goods,HLEGLAS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK522215.png,False
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK543227.png,False
Havells India Ltd.,Consumer Durables,HAVELLS.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK517354.png,True
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500182.png,True
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500440.png,True
Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK541154.png,True
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK513599.png,True
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS,https://assets-netstorage.groww.in/stock-assets/logos/GSTK500104.png,True
